name,agu,district,code
"TECHNICAL HSS, KALLOOPPARA, PATHANAMTHITTA",T,3,3050
"HOLY ANGELS EM HSS, ADOOR",U,3,3051
"GOOD SHEPHERD EM HSS, PERUMALA",U,3,3052
"NICHOLSON SYRIAN GHSS, MENJADI",U,3,3053
"ST. MARY'S R.E.M. HSS, MULLASSERY, NEC CLUBBED TO 03009",U,3,3054
"BETHANY ST. MARY'S GHSS, PERINAD, RANNI",U,3,3055
"SH HSS, MYLAPRA",U,3,3056
"KADAMPANADU HSS, KADAMPANADU",U,3,3057
"MK GAM HSS, MANNADY",U,3,3058
"SCHOOL FOR THE DEAF, ENATHU",U,3,3059
"MOUNT BETHANY EM HSS, MYLAPRA",U,3,3060
"ST. THOMAS HSS, RANNI",U,3,3061
"MPV HSS, KUMBHAZHA, PATHANAMTHITTA",U,3,3062
"ST. PAUL'S HSS, NARIYAPURAM, MAMPILALI",U,3,3063
"NETAJI HSS, PRAMADOM, MALLASSERY",U,3,3064
"SCV HSS, KOOTTANADU",U,3,3065
"PMV HSS, PERINGARA, THIRUVALLA",U,3,3066
"NMHSS, KARIMPLAVU",U,3,3067
"CMS HSS, KUMBALAMPOIKA, PATHANAMTHITTA",U,3,3068
"NMHSS, KUMBANADU",U,3,3069
"TECHNICAL HSS, ADOOR",T,3,3070
"TECHNICAL HSS, ARANMULA, KOZHENCHERY",T,3,3071
"GOVT. HSS, KISIMUM, THULAPALLY, PATHANAMTHITTA",G,3,3072
"GOVT. GIRLS HSS, ADOOR, PATHANAMTHITTA",G,3,3073
"GOVT. HSS, TRICHENNAMANGALAM, PERINGANAD, PATHANAM",G,3,3074
"GHSS, ELIMULLUMPLACKAL, PATHANAMTHITTA",G,3,3075
"MRSLB VGHSS, VAIPUR, MALLAPPALLY, PATHANAMTHITTA",G,3,3076
"GHSS, THUMPAMON NORTH, PATHANAMTHITTA",G,3,3077
